time,open,high,low,close
2020-11-12T00:00:00Z,15702,16369.99,15481,16300
2020-11-13T00:00:00Z,16300,16494.52,15970.33,16335.58
2020-11-14T00:00:00Z,16339.06,16341.89,15715.1,16086.34
2020-11-15T00:00:00Z,16092.8,16170,15786.46,15975.49
2020-11-16T00:00:00Z,15975.49,16894.93,15875.5,16724.62
2020-11-17T00:00:00Z,16727.85,17868,16570,17680.63
2020-11-18T00:00:00Z,17681.77,18483,17041.47,17785.95
2020-11-19T00:00:00Z,17792.96,18189.97,17346.62,17825.47
2020-11-20T00:00:00Z,17822.37,18824.88,17755.81,18687.65
2020-11-21T00:00:00Z,18685.08,18977,18333.45,18725
2020-11-22T00:00:00Z,18726.43,18770.55,17600,18435.2
2020-11-23T00:00:00Z,18432.6,18786.31,18001.95,18383.35
2020-11-24T00:00:00Z,18386.92,19442.13,18068.56,19160.85
2020-11-25T00:00:00Z,19175.13,19490,18470.91,18732.43
2020-11-26T00:00:00Z,18727.24,18911.04,16218,17160.09
2020-11-27T00:00:00Z,17168.31,17471.89,16435.47,17154.39
2020-11-28T00:00:00Z,17160.38,17896.03,16875.01,17741.79
2020-11-29T00:00:00Z,17724.41,18352.47,17534.87,18192.03
2020-11-30T00:00:00Z,18196.75,19864.15,18196.75,19700.19
2020-12-01T00:00:00Z,19703.53,19918.01,18100,18771.43
2020-12-02T00:00:00Z,18773.21,19346.9,18334,19226.55
2020-12-03T00:00:00Z,19220.09,19621,18881.62,19448.4
2020-12-04T00:00:00Z,19439.94,19552.5,18573.89,18673.76
2020-12-05T00:00:00Z,18650.08,19185.17,18500,19162.16
2020-12-06T00:00:00Z,19162.17,19418.39,18870.62,19380.58
2020-12-07T00:00:00Z,19385.13,19431,18905,19173.5
2020-12-08T00:00:00Z,19183.13,19300.55,18163.52,18316.43
2020-12-09T00:00:00Z,18311.31,18654.92,17640.33,18556.64
2020-12-10T00:00:00Z,18546.38,18562.13,17908,18250.3
2020-12-11T00:00:00Z,18250.3,18290.43,17569.58,18040.02
2020-12-12T00:00:00Z,18031.23,18956.46,18022.55,18815.63
2020-12-13T00:00:00Z,18806.83,19416.64,18628.1,19162.36
2020-12-14T00:00:00Z,19151.82,19346.9,18979.21,19274.33
2020-12-15T00:00:00Z,19274.33,19567.84,19050,19434.87
2020-12-16T00:00:00Z,19434.55,21576.76,19277.66,21365.7
2020-12-17T00:00:00Z,21358.96,23777,21244.04,22814.24
2020-12-18T00:00:00Z,22829.89,23284.68,22360.93,23136.14
2020-12-19T00:00:00Z,23142.05,24217.38,22719.78,23842.99
2020-12-20T00:00:00Z,23842.38,24298.04,23092.77,23470.85
2020-12-21T00:00:00Z,23470.85,24123.83,21864.86,22732.01
2020-12-22T00:00:00Z,22750.07,23843.21,22383.59,23835.1
2020-12-23T00:00:00Z,23819.08,24096.9,22624.92,23247.71
2020-12-24T00:00:00Z,23215,23779.14,22700.1,23726.28
2020-12-25T00:00:00Z,23747.22,24777,23403.82,24705.15
2020-12-26T00:00:00Z,24714.01,26809.5,24485.32,26466.28
2020-12-27T00:00:00Z,26472.89,28377.94,25770,26259.6
2020-12-28T00:00:00Z,26242.82,27473.49,26079.6,27037.91
2020-12-29T00:00:00Z,27037.9,27395,25831.85,27370
2020-12-30T00:00:00Z,27370,29010.32,27328.37,28881.3
2020-12-31T00:00:00Z,28893.21,29300,27930.75,28992.79
2021-01-01T00:00:00Z,28999.63,29700,28720,29402.64
2021-01-02T00:00:00Z,29410.77,33333,29050,32216.53
2021-01-03T00:00:00Z,32216.51,34800,31977.45,33097.83
2021-01-04T00:00:00Z,33068.83,33669.76,27734,32005.88
2021-01-05T00:00:00Z,32054.23,34500,29936.26,34039.05
2021-01-06T00:00:00Z,34081.24,37050.83,33348.27,36849.94
2021-01-07T00:00:00Z,36875.96,40402.46,36327.5,39510.49
2021-01-08T00:00:00Z,39510.59,42000,36618.36,40667.07
2021-01-09T00:00:00Z,40682.76,41422.77,38788.16,40239.06
2021-01-10T00:00:00Z,40239.06,41450,34322.07,38173.73
2021-01-11T00:00:00Z,38164.88,38261.39,30261.13,35455.58
2021-01-12T00:00:00Z,35449.71,36639.23,32479.91,34035.02
2021-01-13T00:00:00Z,34035.02,37800,32327.76,37393.49
2021-01-14T00:00:00Z,37393.49,40112.78,36717.23,39134.35
2021-01-15T00:00:00Z,39147.98,39694,34380,36756.57
2021-01-16T00:00:00Z,36778.66,37944.12,35350,36000
2021-01-17T00:00:00Z,36013.51,36839,33833.55,35819.25
2021-01-18T00:00:00Z,35826.36,37449.86,34777.85,36616.95
2021-01-19T00:00:00Z,36665.82,37874.71,35888,35917.62
2021-01-20T00:00:00Z,35888.13,36440.1,33400,35496.91
2021-01-21T00:00:00Z,35516.17,35620.96,30044.16,30818.18
2021-01-22T00:00:00Z,30817.86,33864.85,28800,32992.06
2021-01-23T00:00:00Z,32989.1,33468.46,31426.11,32117.49
2021-01-24T00:00:00Z,32098.38,33075.75,30960.77,32288.83
2021-01-25T00:00:00Z,32289.06,34888,31939.12,32261.22
2021-01-26T00:00:00Z,32264.15,32953.28,30847.4,32504.53
2021-01-27T00:00:00Z,32521.65,32580.12,29150.49,30424.62
2021-01-28T00:00:00Z,30427.34,33870.58,29899.99,33484.87
2021-01-29T00:00:00Z,33488.66,38620,31990,34249.64
2021-01-30T00:00:00Z,34265.71,34931.39,32860,34323
2021-01-31T00:00:00Z,34300.19,34380.21,32193.7,33141.38
2021-02-01T00:00:00Z,33110.32,34736.1,32333.01,33532.74
2021-02-02T00:00:00Z,33497.16,36008.67,33431.67,35522.16
2021-02-03T00:00:00Z,35496.91,37732.87,35382.45,37691.63
2021-02-04T00:00:00Z,37693,38748.52,36197.65,36996.32
2021-02-05T00:00:00Z,36984.28,38359.69,36618.36,38320
2021-02-06T00:00:00Z,38320,41025.48,38230.81,39282.1
2021-02-07T00:00:00Z,39274.8,39727.44,37412.93,38858.39
2021-02-08T00:00:00Z,38870.36,46712.12,38050.97,46416.45
2021-02-09T00:00:00Z,46445.51,48216.09,45000,46505.2
2021-02-10T00:00:00Z,46493.9,47364.09,43746.06,44854.63
2021-02-11T00:00:00Z,44854.63,48696.84,44040.96,47981.48
2021-02-12T00:00:00Z,48044.88,49000,46231.16,47395.84
2021-02-13T00:00:00Z,47424.25,48220,46133,47228.48
2021-02-14T00:00:00Z,47258.66,49714.66,47081.02,48662.5
2021-02-15T00:00:00Z,48620.48,49048.82,45914.75,47942.57
2021-02-16T00:00:00Z,47954.05,50602.53,47036.02,49166.53
2021-02-17T00:00:00Z,49136.7,52640,48896.19,52174.28
2021-02-18T00:00:00Z,52141.23,52566.98,50869.61,51579.54
2021-02-19T00:00:00Z,51560.46,56399.99,50627.32,55988.58
2021-02-20T00:00:00Z,56000.59,57553.81,54000,55936.04
2021-02-21T00:00:00Z,55919.75,58354.14,55537.99,57492.91
2021-02-22T00:00:00Z,57485.74,57564.19,47400,54173.65
2021-02-23T00:00:00Z,54173.64,54196.58,44845.72,48887.93
2021-02-24T00:00:00Z,48927.33,51459.51,47000,49754
2021-02-25T00:00:00Z,49715.13,52079.16,46723,47088.58
2021-02-26T00:00:00Z,47070.18,48476.62,44151.97,46314.83
2021-02-27T00:00:00Z,46324.15,48365.31,45050,46109.98
2021-02-28T00:00:00Z,46142.1,46659.88,43021,45240.96
2021-03-01T00:00:00Z,45261.56,49831.52,45020.25,49629.33
2021-03-02T00:00:00Z,49641.89,50250,47069.52,48516.35
2021-03-03T00:00:00Z,48438,52652.82,48168.45,50379.68
2021-03-04T00:00:00Z,50376.05,51817.54,47500,48360.5
2021-03-05T00:00:00Z,48353.09,49471.24,46294,48739.21
2021-03-06T00:00:00Z,48774.67,49200,47082.29,48904.63
2021-03-07T00:00:00Z,48933.12,51477.53,48933.12,50967.3
2021-03-08T00:00:00Z,50952.55,52427.8,49316.98,52427.8
2021-03-09T00:00:00Z,52427.8,54939.26,51857,54929.02
2021-03-10T00:00:00Z,54927.29,57402.89,53010,55852.29
2021-03-11T00:00:00Z,55918.09,58155.99,54269,57772.09
2021-03-12T00:00:00Z,57847.92,58098.5,55011,57271.04
2021-03-13T00:00:00Z,57297.67,61781.83,56080.96,61165.19
2021-03-14T00:00:00Z,61177.03,61700,58959.57,59016.39
2021-03-15T00:00:00Z,58956.9,60595.13,54555,55644.37
2021-03-16T00:00:00Z,55616.42,56950,53221,56908.34
2021-03-17T00:00:00Z,56928.38,58968.8,54124,58901.8
2021-03-18T00:00:00Z,58939.73,60083.25,57000,57648.05
2021-03-19T00:00:00Z,57648.01,59450.95,56279.34,58072
2021-03-20T00:00:00Z,58029.94,59957,57815.61,58138.39
2021-03-21T00:00:00Z,58072.87,58632.52,55500,57381.79
2021-03-22T00:00:00Z,57410.54,58461.78,53715,54070.92
2021-03-23T00:00:00Z,54117.71,55866.44,52933.03,54361.57
2021-03-24T00:00:00Z,54360.07,57207.33,51638.76,52287.52
2021-03-25T00:00:00Z,52281.77,53271.59,50360,51326.11
2021-03-26T00:00:00Z,51292.65,55114.86,51263.38,55081.37
2021-03-27T00:00:00Z,55081.26,56686.15,53948.35,55839.42
2021-03-28T00:00:00Z,55817.85,56573.04,54677.51,55790.92
2021-03-29T00:00:00Z,55790.28,58402.68,54892.42,57600.1
2021-03-30T00:00:00Z,57623.66,59388.66,57011,58760.59
2021-03-31T00:00:00Z,58767.75,59816.17,56713.45,58782.58
2021-04-01T00:00:00Z,58789.96,59490,57935.42,58728.53
2021-04-02T00:00:00Z,58744,60103.04,58450,59003.6
2021-04-03T00:00:00Z,58967.61,59801.39,56922,57064.42
2021-04-04T00:00:00Z,57064.13,58501,56466.25,58212.18
2021-04-05T00:00:00Z,58213.69,59280,56800,59125
2021-04-06T00:00:00Z,59135.36,59473.9,57216,58018.3
2021-04-07T00:00:00Z,58024.9,58668,55441.93,55932.83
2021-04-08T00:00:00Z,55912.38,58145.49,55680.4,58096.6
2021-04-09T00:00:00Z,58066.18,58890.25,57657.43,58109.56
2021-04-10T00:00:00Z,58129.02,61222.22,57870,59766.93
2021-04-11T00:00:00Z,59773.19,60679,59165.15,59979.26
2021-04-12T00:00:00Z,59972.26,61234.56,59361.11,59831.66
2021-04-13T00:00:00Z,59814.87,63769,59780,63564.48
2021-04-14T00:00:00Z,63605.69,64895.22,61327,62986.09
2021-04-15T00:00:00Z,62954.2,63855.37,61998.9,63239.19
2021-04-16T00:00:00Z,63247.24,63580.4,60042.04,61436.24
2021-04-17T00:00:00Z,61436.23,62596.48,59676.67,60032.29
2021-04-18T00:00:00Z,60048.82,60433.81,51541.16,56280.6
2021-04-19T00:00:00Z,56260.83,57633,54252.88,55694.55
2021-04-20T00:00:00Z,55694.55,57119,53400,56503.19
2021-04-21T00:00:00Z,56493.02,56850,53628.79,53806.24
2021-04-22T00:00:00Z,53823.48,55491.8,50450.01,51683.95
2021-04-23T00:00:00Z,51693.98,52131.34,47555,51176.65
2021-04-24T00:00:00Z,51177.77,51227.38,48713.34,50118.94
2021-04-25T00:00:00Z,50126.34,50608.94,47004.2,49128.43
2021-04-26T00:00:00Z,49122.75,54404.78,48823.01,54073.41
2021-04-27T00:00:00Z,54015.32,55519.37,53325.75,55091.39
2021-04-28T00:00:00Z,55094.73,56500,53811.49,54901.97
2021-04-29T00:00:00Z,54898.45,55239.33,52379.9,53593.97
2021-04-30T00:00:00Z,53585.93,58008,53087.15,57775.27
2021-05-01T00:00:00Z,57790.66,58549,57049.63,57851.91
2021-05-02T00:00:00Z,57893.01,57967.01,56064.51,56622.66
2021-05-03T00:00:00Z,56599.91,59000,56500,57222.37
2021-05-04T00:00:00Z,57227.64,57250.85,53080.69,53236.84
2021-05-05T00:00:00Z,53221.75,57976.62,52924.5,57509.93
2021-05-06T00:00:00Z,57517.08,58420.83,55283,56447.39
2021-05-07T00:00:00Z,56425.82,58743.85,55288.11,57381.73
2021-05-08T00:00:00Z,57371.02,59564.24,56977.5,58984.75
2021-05-09T00:00:00Z,58964.89,59300.62,56256,58305.24
2021-05-10T00:00:00Z,58336.16,59603,53500,55880.72
2021-05-11T00:00:00Z,55854.43,56972.33,54500,56763.7
2021-05-12T00:00:00Z,56763.7,58021.26,48530,49386.56
2021-05-13T00:00:00Z,49419.44,51420.72,45700,49694.96
2021-05-14T00:00:00Z,49711.64,51572,48875.69,49880.43
2021-05-15T00:00:00Z,49883.89,50710.93,46448.53,46708.89
2021-05-16T00:00:00Z,46753.4,49800,43769.4,46444.75
2021-05-17T00:00:00Z,46446.42,46648.5,42100,43593.39
2021-05-18T00:00:00Z,43581.27,45872.05,42023.69,42877.75
2021-05-19T00:00:00Z,42900.85,43601.63,30066,36780.43
2021-05-20T00:00:00Z,36793.39,43000,35000,40640.9
2021-05-21T00:00:00Z,40566.13,42297.89,33520,37335.16
2021-05-22T00:00:00Z,37318.43,38887.99,35260,37500.54
2021-05-23T00:00:00Z,37474.34,38311.74,31107.46,34706.79
2021-05-24T00:00:00Z,34735.35,39960,34426.21,38839.86
2021-05-25T00:00:00Z,38848.36,40000,36486.85,38397.72
2021-05-26T00:00:00Z,38385.87,40904,37859.74,39309.56
2021-05-27T00:00:00Z,39299.46,40429.47,37212.9,38503.47
2021-05-28T00:00:00Z,38578.5,38905.12,34710.23,35692.46
2021-05-29T00:00:00Z,35691.36,37348.01,33650,34632.08
2021-05-30T00:00:00Z,34644.09,36516.99,33425,35677.72
2021-05-31T00:00:00Z,35675.3,37540.96,34195.2,37341.41
2021-06-01T00:00:00Z,37279.89,37927.44,35699.98,36693.3
2021-06-02T00:00:00Z,36693.3,38256.3,35933.19,37589.36
2021-06-03T00:00:00Z,37585.12,39490,37176.06,39219.88
2021-06-04T00:00:00Z,39242.94,39277.36,35576.67,36887.32
2021-06-05T00:00:00Z,36851.58,37927.93,34849.65,35532.14
2021-06-06T00:00:00Z,35532.59,36510.58,35250,35808.85
2021-06-07T00:00:00Z,35810.69,36808.3,33321.09,33582.62
2021-06-08T00:00:00Z,33567.51,34085.61,31025,33411.69
2021-06-09T00:00:00Z,33413.19,37556.25,32423.72,37400
2021-06-10T00:00:00Z,37414.64,38446.24,35824.69,36707.54
2021-06-11T00:00:00Z,36724.97,37680.65,35958.49,37341.11
2021-06-12T00:00:00Z,37338.91,37445.55,34630,35542.76
2021-06-13T00:00:00Z,35563.66,39386.43,34783.9,39013.76
2021-06-14T00:00:00Z,39035.52,41050,38758.4,40532.79
2021-06-15T00:00:00Z,40544.19,41341.57,39526.47,40171.47
2021-06-16T00:00:00Z,40166.93,40506.59,38095.41,38353.99
2021-06-17T00:00:00Z,38361.38,39553.05,37350,38097.68
2021-06-18T00:00:00Z,38110.25,38208.68,35143.68,35840
2021-06-19T00:00:00Z,35849.18,36440,34718.21,35507.06
2021-06-20T00:00:00Z,35494.7,36125,33337,35589.77
2021-06-21T00:00:00Z,35598.66,35763.8,31238.69,31634.16
2021-06-22T00:00:00Z,31628.83,33315.85,28600,32545.26
2021-06-23T00:00:00Z,32547.57,35000,31670.89,33652.28
2021-06-24T00:00:00Z,33693.99,35289,32314.37,34649.32
2021-06-25T00:00:00Z,34652.68,35517.22,31271.02,31597.75
2021-06-26T00:00:00Z,31595.95,32714.46,30082.79,32269.38
2021-06-27T00:00:00Z,32293.98,34772.94,32015.82,34699.5
2021-06-28T00:00:00Z,34716.02,35357.13,33878.23,34487.11
2021-06-29T00:00:00Z,34494.42,36623.79,34240,35907.93
2021-06-30T00:00:00Z,35900.05,36099.82,34049.36,35037.23
2021-07-01T00:00:00Z,35059.71,35071.34,32700.88,33564.21
2021-07-02T00:00:00Z,33537.11,33981.51,32700.05,33811.56
2021-07-03T00:00:00Z,33810.46,34959.72,33333.1,34688.3
2021-07-04T00:00:00Z,34672.08,35960,34404.29,35289.21
2021-07-05T00:00:00Z,35255,35258.7,33143,33704.21
2021-07-06T00:00:00Z,33730.76,35100.49,33510.58,34244.09
2021-07-07T00:00:00Z,34231.95,35059.02,33800,33882.47
2021-07-08T00:00:00Z,33858.33,33943.02,32101,32898.79
2021-07-09T00:00:00Z,32892.94,34115.44,32285.73,33826.43
2021-07-10T00:00:00Z,33830.73,34261.04,33014.21,33517.6
2021-07-11T00:00:00Z,33521.48,34635.82,33335.49,34258.53
2021-07-12T00:00:00Z,34266.84,34677,32660,33105
2021-07-13T00:00:00Z,33091.53,33340,32190,32728
2021-07-14T00:00:00Z,32737.56,33111.72,31589.35,32823.55
2021-07-15T00:00:00Z,32818.68,33179,31121.57,31848.65
2021-07-16T00:00:00Z,31885.7,32264.53,31012.93,31388.17
2021-07-17T00:00:00Z,31376.3,31950,31176.66,31529.68
2021-07-18T00:00:00Z,31509.33,32440.98,31100,31776.65
2021-07-19T00:00:00Z,31794.49,31881.71,30400,30829.29
2021-07-20T00:00:00Z,30822.08,31068.62,29296.39,29786.58
2021-07-21T00:00:00Z,29792.99,32875.42,29500,32138.45
2021-07-22T00:00:00Z,32115.82,32609.83,31703.15,32300.88
2021-07-23T00:00:00Z,32306.98,33684.17,32000,33684.17
2021-07-24T00:00:00Z,33685,34534.32,33419.31,34301.78
2021-07-25T00:00:00Z,34301.86,35448.97,33874.03,35428.28
2021-07-26T00:00:00Z,35438.93,40581.3,35282.7,37291.24
2021-07-27T00:00:00Z,37271.44,39539.5,36386.19,39475.41
2021-07-28T00:00:00Z,39446.94,40927.53,38786.8,40036.32
2021-07-29T00:00:00Z,40024.8,40662.8,39239.95,40037.51
2021-07-30T00:00:00Z,40045.21,42335.5,38331.37,42234.89
2021-07-31T00:00:00Z,42236.72,42411.32,41007.51,41490.13
2021-08-01T00:00:00Z,41489.16,42614.85,39424.27,39839
2021-08-02T00:00:00Z,39875.2,40459.31,38687.62,39165.55
2021-08-03T00:00:00Z,39157.52,39792.83,37639,38177.07
2021-08-04T00:00:00Z,38173.75,39973.94,37481,39741.12
2021-08-05T00:00:00Z,39742.77,41401.96,37300,40894.67
2021-08-06T00:00:00Z,40893.77,43381,39879.47,42856.59
2021-08-07T00:00:00Z,42857.09,44763.14,42251,44612.94
2021-08-08T00:00:00Z,44624.4,45355,43298.84,43858.42
2021-08-09T00:00:00Z,43836.05,46529.02,42811.26,46292.89
2021-08-10T00:00:00Z,46282.3,46759,44643,45609.7
2021-08-11T00:00:00Z,45596.21,46787.6,45353.02,45539.85
2021-08-12T00:00:00Z,45536.8,46236.7,43800.02,44444.45
2021-08-13T00:00:00Z,44413.35,47929.18,44253.97,47860.58
2021-08-14T00:00:00Z,47855,48190,46000,47119.73
2021-08-15T00:00:00Z,47130.97,47424,45500.27,47028.3
2021-08-16T00:00:00Z,47024.96,48075.22,45654.14,45930.51
2021-08-17T00:00:00Z,45930.48,47183.37,44417.51,44694.35
2021-08-18T00:00:00Z,44631.47,46041.62,44218.73,44721.13
2021-08-19T00:00:00Z,44734.16,47114.99,43935.54,46764.3
2021-08-20T00:00:00Z,46759.29,49436.1,46645.77,49356
2021-08-21T00:00:00Z,49332.31,49833.02,48300,48884.34
2021-08-22T00:00:00Z,48883.84,49540.01,48080.17,49301.86
2021-08-23T00:00:00Z,49296.71,50562.11,49010,49561.37
2021-08-24T00:00:00Z,49516.08,49893.5,47593.66,47731.33
2021-08-25T00:00:00Z,47670.8,49273.93,47100,49011.75
2021-08-26T00:00:00Z,49022.39,49387.6,46309.33,46856.29
2021-08-27T00:00:00Z,46857.86,49187,46363,49100.49
2021-08-28T00:00:00Z,49100.49,49325,48244.88,48935.36
2021-08-29T00:00:00Z,48947.1,49666,47798.29,48808.72
2021-08-30T00:00:00Z,48782.56,48915.29,46855.41,47003.44
2021-08-31T00:00:00Z,46969.05,48270.33,46699,47156.09
2021-09-01T00:00:00Z,47118.02,49134,46532.42,48853.49
2021-09-02T00:00:00Z,48830.93,50390,48625,49274.79
2021-09-03T00:00:00Z,49284.93,51050,48351.6,50025.04
2021-09-04T00:00:00Z,50033.5,50570.94,49388.26,49943.16
2021-09-05T00:00:00Z,49965.32,51900,49500,51809.28
2021-09-06T00:00:00Z,51809.28,52810,51024.32,52708.2
2021-09-07T00:00:00Z,52719.43,52956.47,52407.6,52550.63